,date,text pos,text neg,text neu,sales
0,2015-09-11,0.22386666666666663,0.030866666666666667,0.7453333333333332,
1,2015-09-12,0.187,0.057249999999999995,0.75575,
2,2015-09-14,0.24860000000000002,0.0258,0.7253999999999999,
3,2015-09-16,0.232,0.0,0.768,
4,2015-09-17,0.09333333333333334,0.035666666666666666,0.871,
5,2015-09-18,0.043666666666666666,0.06733333333333334,0.8889999999999999,
6,2015-09-20,0.16699999999999998,0.0525,0.7805,
7,2015-09-21,0.271,0.0,0.729,
8,2015-09-22,0.2884,0.0372,0.6746,
9,2015-09-23,0.08533333333333333,0.14933333333333335,0.7653333333333334,
10,2015-09-25,0.189,0.0,0.8109999999999999,
11,2015-09-26,0.18900000000000003,0.027333333333333334,0.7836666666666666,
12,2015-09-27,0.143,0.0,0.857,
13,2015-09-28,0.3234,0.0178,0.659,
14,2015-09-29,0.271,0.012625,0.7163750000000001,
15,2015-09-30,0.16773913043478264,0.03826086956521739,0.7939565217391306,
16,2015-10-01,0.22484210526315795,0.03923684210526315,0.7359210526315791,
17,2015-10-02,0.219056338028169,0.05636619718309859,0.7245070422535212,"$18,145,681"
18,2015-10-03,0.2058125,0.075125,0.7189375,"$22,251,765"
19,2015-10-04,0.18666666666666668,0.023714285714285716,0.7894761904761906,"$13,911,129"
20,2015-10-05,0.19875999999999996,0.02972,0.7715599999999999,"$4,401,171"
21,2015-10-06,0.1845,0.07275,0.7426666666666666,"$5,457,240"
22,2015-10-07,0.1788235294117647,0.04576470588235294,0.7754117647058822,"$3,741,530"
23,2015-10-08,0.19216666666666668,0.06033333333333333,0.7475833333333334,"$3,801,813"
24,2015-10-09,0.21685714285714283,0.05157142857142856,0.7317142857142857,"$10,729,571"
25,2015-10-10,0.17822222222222223,0.08433333333333332,0.7374444444444446,"$15,877,535"
26,2015-10-11,0.16014285714285714,0.08957142857142857,0.7501428571428571,"$10,398,160"
27,2015-10-12,0.2434285714285714,0.05614285714285714,0.7002857142857142,"$4,900,783"
28,2015-10-13,0.26699999999999996,0.045000000000000005,0.6880000000000001,"$3,454,333"
29,2015-10-14,0.20557142857142857,0.06614285714285714,0.7284285714285714,"$2,634,337"
30,2015-10-15,0.251875,0.013375,0.7347499999999999,"$2,590,610"
31,2015-10-16,0.20642857142857143,0.04371428571428571,0.7498571428571429,"$6,277,423"
32,2015-10-17,0.2485714285714286,0.04385714285714286,0.7078571428571429,"$9,456,390"
33,2015-10-18,0.16833333333333333,0.057999999999999996,0.7736666666666666,"$5,566,307"
34,2015-10-19,0.257,0.025,0.7178000000000001,"$1,594,290"
35,2015-10-20,0.142,0.0615,0.7965,"$2,100,170"
36,2015-10-21,0.11,0.07,0.82,"$1,575,030"
37,2015-10-22,0.10766666666666667,0.06366666666666666,0.8286666666666666,"$1,589,880"
38,2015-10-23,0.299,0.006,0.694,"$4,353,926"
39,2015-10-24,0.19914285714285715,0.038142857142857145,0.7624285714285713,"$7,265,327"
40,2015-10-25,0.29200000000000004,0.0675,0.6405000000000001,"$4,113,654"
41,2015-10-26,0.1155,0.08399999999999999,0.8005,"$1,215,127"
42,2015-10-27,0.19,0.08124999999999999,0.72875,"$1,574,997"
43,2015-10-28,0.28049999999999997,0.0365,0.683,"$1,251,481"
44,2015-10-29,0.24733333333333332,0.10266666666666667,0.6496666666666667,"$1,177,093"
45,2015-10-30,0.037,0.244,0.719,"$3,475,095"
46,2015-10-31,0.123,0.089,0.788,"$4,564,809"
145,2015-11-01,,,,"$3,675,193"
47,2015-11-02,0.157,0.04066666666666666,0.8019999999999999,"$1,151,099"
48,2015-11-03,0.1965,0.0885,0.715,"$1,472,489"
49,2015-11-04,0.2165,0.021,0.7625,"$1,066,793"
50,2015-11-05,0.1015,0.14900000000000002,0.7495,"$955,115"
51,2015-11-06,0.071,0.0395,0.889,"$2,587,558"
146,2015-11-07,,,,"$4,290,010"
52,2015-11-08,0.07050000000000001,0.158,0.7715000000000001,"$2,196,751"
147,2015-11-09,,,,"$616,711"
53,2015-11-10,0.263,0.0,0.737,"$1,049,140"
54,2015-11-11,0.518,0.0,0.482,"$1,501,925"
148,2015-11-12,,,,"$673,175"
55,2015-11-13,0.06,0.067,0.873,"$1,928,448"
56,2015-11-14,0.1805,0.0965,0.7235,"$3,193,837"
57,2015-11-15,0.1785,0.044,0.7775000000000001,"$1,589,886"
58,2015-11-16,0.238,0.049,0.713,"$455,828"
59,2015-11-17,0.195,0.175,0.63,"$604,624"
60,2015-11-18,0.231,0.0,0.769,"$467,098"
149,2015-11-19,,,,"$417,105"
61,2015-11-20,0.125,0.101,0.774,"$1,016,327"
62,2015-11-21,0.1535,0.07300000000000001,0.774,"$1,745,675"
63,2015-11-22,0.174,0.16,0.666,"$1,035,768"
64,2015-11-23,0.26866666666666666,0.05833333333333333,0.673,"$443,363"
65,2015-11-24,0.2535,0.032,0.7145,"$510,274"
150,2015-11-25,,,,"$603,663"
151,2015-11-26,,,,"$621,336"
152,2015-11-27,,,,"$1,341,979"
66,2015-11-28,0.333,0.0,0.667,"$1,310,403"
67,2015-11-29,0.142,0.097,0.761,"$568,684"
68,2015-11-30,0.17,0.074,0.756,"$163,937"
153,2015-12-01,,,,"$189,027"
69,2015-12-02,0.209,0.039,0.752,"$157,184"
70,2015-12-03,0.103,0.021,0.876,"$151,126"
154,2015-12-04,,,,"$451,903"
71,2015-12-05,0.078,0.095,0.827,"$769,471"
72,2015-12-06,0.286,0.0,0.714,"$384,986"
155,2015-12-07,,,,"$132,310"
73,2015-12-08,0.22299999999999998,0.011909090909090909,0.7649999999999999,"$173,447"
74,2015-12-09,0.226,0.053,0.72,"$146,274"
156,2015-12-10,,,,"$143,456"
157,2015-12-11,,,,"$397,265"
158,2015-12-12,,,,"$676,358"
75,2015-12-13,0.15266666666666664,0.026333333333333334,0.8210000000000001,"$383,737"
76,2015-12-14,0.305,0.109,0.586,"$148,620"
77,2015-12-15,0.41,0.0,0.59,"$175,666"
78,2015-12-16,0.248,0.258,0.495,"$158,991"
159,2015-12-17,,,,"$88,751"
79,2015-12-18,0.289,0.062,0.649,"$113,611"
160,2015-12-19,,,,"$194,111"
80,2015-12-20,0.1605,0.128,0.712,"$142,288"
81,2015-12-21,0.22066666666666665,0.005333333333333333,0.774,"$124,099"
161,2015-12-22,,,,"$144,466"
82,2015-12-23,0.0685,0.0,0.9315,"$123,735"
83,2015-12-24,0.3215,0.0785,0.6,"$94,342"
84,2015-12-25,0.18233333333333335,0.06066666666666667,0.7576666666666666,"$128,028"
85,2015-12-26,0.465,0.0,0.535,"$204,100"
162,2015-12-27,,,,"$155,316"
86,2015-12-28,0.136,0.136,0.728,"$116,352"
87,2015-12-29,0.15033333333333332,0.08433333333333333,0.7656666666666666,"$129,363"
88,2015-12-30,0.11950000000000001,0.0895,0.7909999999999999,"$131,168"
89,2015-12-31,0.19299999999999998,0.08600000000000001,0.7210000000000001,"$114,951"
90,2016-01-01,0.092,0.087,0.822,"$221,555"
91,2016-01-02,0.16199999999999998,0.059,0.7785,"$232,840"
163,2016-01-03,,,,"$111,009"
164,2016-01-04,,,,"$49,088"
92,2016-01-05,0.296,0.0,0.704,"$53,258"
93,2016-01-06,0.2255,0.1145,0.6605,"$47,505"
94,2016-01-07,0.1265,0.0625,0.8115,"$50,414"
95,2016-01-08,0.323,0.0,0.677,"$108,274"
96,2016-01-09,0.155,0.035,0.8095,"$175,954"
97,2016-01-10,0.15466666666666665,0.04466666666666667,0.8006666666666667,"$91,685"
165,2016-01-11,,,,"$40,423"
166,2016-01-12,,,,"$52,024"
167,2016-01-13,,,,"$42,315"
98,2016-01-14,0.332,0.031,0.638,"$51,343"
99,2016-01-15,0.29800000000000004,0.036500000000000005,0.6655,"$130,359"
100,2016-01-16,0.249,0.1355,0.6154999999999999,"$186,884"
101,2016-01-17,0.115,0.076,0.809,"$135,829"
102,2016-01-18,0.25766666666666665,0.026,0.7163333333333334,"$102,673"
168,2016-01-19,,,,"$39,170"
103,2016-01-20,0.347,0.0,0.653,"$32,974"
104,2016-01-21,0.235,0.093,0.6719999999999999,"$34,485"
105,2016-01-22,0.1605,0.0955,0.744,"$77,120"
106,2016-01-23,0.174,0.028,0.798,"$144,766"
107,2016-01-24,0.183,0.0,0.817,"$59,281"
108,2016-01-25,0.086,0.193,0.722,"$23,847"
109,2016-01-26,0.1675,0.078,0.754,"$30,270"
169,2016-01-27,,,,"$27,845"
170,2016-01-28,,,,"$28,163"
110,2016-01-29,0.42700000000000005,0.0,0.573,"$56,134"
111,2016-01-30,0.181,0.041999999999999996,0.7775000000000001,"$96,984"
112,2016-01-31,0.131,0.267,0.602,"$58,817"
171,2016-02-01,,,,"$16,353"
172,2016-02-02,,,,"$18,074"
173,2016-02-03,,,,"$16,695"
113,2016-02-04,0.13633333333333333,0.04766666666666666,0.816,"$16,576"
114,2016-02-05,0.116,0.0,0.884,"$33,768"
174,2016-02-06,,,,"$61,993"
115,2016-02-07,0.502,0.076,0.422,"$17,956"
116,2016-02-08,0.363,0.023,0.614,"$10,642"
117,2016-02-09,0.218,0.033,0.75,"$13,223"
175,2016-02-10,,,,"$10,292"
118,2016-02-11,0.099,0.052,0.848,"$13,188"
176,2016-02-12,,,,"$17,259"
177,2016-02-13,,,,"$33,190"
178,2016-02-14,,,,"$34,718"
179,2016-02-15,,,,"$15,573"
119,2016-02-16,0.249,0.093,0.657,"$7,616"
180,2016-02-17,,,,"$6,995"
120,2016-02-18,0.2,0.019,0.781,"$6,676"
181,2016-02-19,,,,"$9,157"
121,2016-02-20,0.392,0.0,0.608,"$26,481"
182,2016-02-21,,,,"$9,588"
122,2016-02-22,0.2865,0.009,0.7045,"$2,635"
123,2016-02-23,0.271,0.0,0.729,"$5,196"
183,2016-02-24,,,,"$3,643"
124,2016-02-25,0.024,0.192,0.783,"$3,305"
125,2016-02-26,0.362,0.0,0.638,"$6,244"
184,2016-02-27,,,,"$17,685"
185,2016-02-28,,,,"$6,753"
186,2016-02-29,,,,"$3,340"
187,2016-03-01,,,,"$4,037"
126,2016-03-02,0.2145,0.064,0.7215,"$4,478"
127,2016-03-03,0.0,0.107,0.893,"$3,977"
128,2016-03-04,0.058,0.081,0.86,
129,2016-03-05,0.322,0.017,0.66,
130,2016-03-06,0.319,0.0,0.681,
131,2016-03-15,0.097,0.134,0.769,
132,2016-03-24,0.237,0.0,0.763,
133,2016-03-25,0.214,0.058,0.727,
134,2016-03-26,0.113,0.0,0.887,
135,2016-03-27,0.1885,0.07500000000000001,0.7375,
136,2016-03-28,0.082,0.161,0.757,
137,2016-04-02,0.303,0.0,0.697,
138,2016-04-05,0.087,0.0,0.913,
139,2016-04-08,0.154,0.202,0.644,
140,2016-04-10,0.141,0.067,0.793,
141,2016-04-15,0.0,0.079,0.921,
142,2016-04-18,0.161,0.022,0.817,
143,2016-04-20,0.013,0.182,0.804,
144,2016-04-22,0.308,0.069,0.623,
